Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
3b204e1c8fa34183821cf925128f545c,46,point,4,0.0001821394107537344,0.0003642124938778579,378,109448,4,1
3b204e1c8fa34183821cf925128f545c,46,point,5,0.3499371111392975,0.5184495449066162,14265,5058,4,3
3b204e1c8fa34183821cf925128f545c,46,point,6,0.0003901784075424075,0.0007800524472258985,801,109448,4,1
3b204e1c8fa34183821cf925128f545c,46,point,7,0.9909132122993469,0.995435893535614,110147,109172,4,2
3b204e1c8fa34183821cf925128f545c,46,matte,1,0.0013562144013121724,0.002708755200728774,202,148944,5,1
3b204e1c8fa34183821cf925128f545c,46,matte,2,0.004329696297645569,0.00862206146121025,3846,888284,5,0
3b204e1c8fa34183821cf925128f545c,46,matte,3,0.04216308519244194,0.08091456443071365,7196,148944,5,1
3b204e1c8fa34183821cf925128f545c,46,matte,4,0.0025378665886819363,0.00506288418546319,378,148944,5,1
3b204e1c8fa34183821cf925128f545c,46,matte,5,0.4230392873287201,0.5945574045181274,14265,6093,5,3
3b204e1c8fa34183821cf925128f545c,46,matte,6,0.005377860274165869,0.010698187164962292,801,148944,5,1
3b204e1c8fa34183821cf925128f545c,46,matte,7,0.9912756681442261,0.9956187605857849,110147,109196,5,2
3b4702ea84544ab5bf0cbfe91df1b789,47,normal,1,0.957157552242279,0.9781098961830139,58598,59172,9,2
3b4702ea84544ab5bf0cbfe91df1b789,47,normal,2,0.8762844204902649,0.9340635538101196,14591,12799,9,4
3b4702ea84544ab5bf0cbfe91df1b789,47,point,1,0.9567406177520752,0.9778921008110046,58598,56067,6,4
3b4702ea84544ab5bf0cbfe91df1b789,47,point,2,0.00257755140773952,0.005141849163919687,14591,18860,6,5
3b4702ea84544ab5bf0cbfe91df1b789,47,matte,1,0.9644837975502014,0.9819208383560181,58598,59715,9,4
3b4702ea84544ab5bf0cbfe91df1b789,47,matte,2,0.8546991348266602,0.9216579794883728,14591,12623,9,6
3d55d8d947c2402498c23c1d6dbce934,48,normal,1,0.03861682489514351,0.07436202466487885,3263,84201,9,3
3d55d8d947c2402498c23c1d6dbce934,48,normal,2,0.003975213505327702,0.007918947376310825,1024,247999,9,2
3d55d8d947c2402498c23c1d6dbce934,48,normal,4,0.0005281746853142977,0.0010557917412370443,156,247999,9,2
3d55d8d947c2402498c23c1d6dbce934,48,normal,5,0.21575753390789032,0.3549351394176483,18167,84201,9,3
3d55d8d947c2402498c23c1d6dbce934,48,normal,6,0.9147987961769104,0.9555038213729858,35232,36100,9,4
3d55d8d947c2402498c23c1d6dbce934,48,normal,7,0.009653264656662941,0.019121941179037094,2394,247999,9,2
